"id","route_id","checked_at","duration_in_traffic","normal_traffic_duration","delay_seconds","traffic_status","distance_meters"
97,5,2026-05-02 03:00:55.420,3982,5310,0,Light,39514
98,6,2026-05-02 07:30:54.977,3180,2995,185,Light,24203
99,7,2026-05-02 11:30:54.976,2128,1746,382,Medium,13250
100,3,2026-05-02 12:30:54.974,4659,4701,0,Light,31130
101,1,2026-05-02 13:15:54.983,2223,1860,363,Medium,12759
102,2,2026-05-02 13:30:54.983,3614,4223,0,Light,26911
103,4,2026-05-03 03:00:54.976,2691,3265,0,Light,25326
104,5,2026-05-03 03:00:55.308,4208,5041,0,Light,46696
105,6,2026-05-03 07:30:54.972,2773,2955,0,Light,24066
106,7,2026-05-03 11:30:54.980,1563,1746,0,Light,13250
107,3,2026-05-03 12:30:54.973,3529,3239,290,Light,25080
108,1,2026-05-03 13:15:54.976,2369,1904,465,Medium,12829
109,2,2026-05-03 13:30:54.982,3433,4114,0,Light,26910
110,4,2026-05-04 03:00:54.978,3420,3265,155,Light,25326
111,5,2026-05-04 03:00:55.389,3881,5310,0,Light,39514
112,6,2026-05-04 07:30:54.986,2746,2995,0,Light,24203
113,7,2026-05-04 11:30:54.981,1912,1746,166,Light,13250
114,3,2026-05-04 12:30:54.973,3976,4653,0,Light,30775
115,1,2026-05-04 13:15:54.977,2119,1860,259,Light,12759
116,2,2026-05-04 13:30:54.973,3354,4223,0,Light,26911
